date_us_open,tag,side,entry_time,entry,tp,sl,exit_time,exit,reason,pips
2025-04-02,base,long,2025-04-02 20:48:00+00:00,1.08291,1.083309,1.082022,2025-04-02 20:48:00+00:00,1.081922,SL,-9.88
2025-04-02,base,short,2025-04-02 22:21:00+00:00,1.08045,1.08002,1.081307,2025-04-02 22:25:00+00:00,1.081407,SL,-9.57
2025-04-03,base,short,2025-04-03 15:54:00+00:00,1.10526,1.102681,1.106557,2025-04-03 17:12:00+00:00,1.102681,TP,25.79
2025-04-03,reentry,short,2025-04-03 17:44:00+00:00,1.1021,1.099389,1.105672,2025-04-03 22:13:00+00:00,1.105772,SL,-36.72
2025-04-03,base,short,2025-04-04 07:19:00+00:00,1.10527,1.102681,1.106557,2025-04-04 07:39:00+00:00,1.102681,TP,25.89
2025-04-03,base,short,2025-04-04 12:00:00+00:00,1.1051,1.102681,1.106557,2025-04-04 12:03:00+00:00,1.106657,SL,-15.57
2025-04-03,base,short,2025-04-04 12:11:00+00:00,1.10514,1.102681,1.106557,2025-04-04 12:18:00+00:00,1.106657,SL,-15.17
2025-04-04,base,short,2025-04-04 14:12:00+00:00,1.10033,1.097532,1.101814,2025-04-04 14:37:00+00:00,1.097532,TP,27.98
2025-04-04,reentry,short,2025-04-04 14:43:00+00:00,1.09707,1.093929,1.100836,2025-04-04 15:53:00+00:00,1.100936,SL,-38.66
2025-04-04,base,short,2025-04-04 16:05:00+00:00,1.10024,1.097532,1.101814,2025-04-04 16:25:00+00:00,1.097532,TP,27.08
2025-04-04,base,short,2025-04-07 08:14:00+00:00,1.10041,1.097532,1.101814,2025-04-07 08:29:00+00:00,1.097532,TP,28.78
2025-04-07,base,short,2025-04-07 14:37:00+00:00,1.09366,1.091419,1.095153,2025-04-07 15:00:00+00:00,1.091419,TP,22.41
2025-04-07,reentry,short,2025-04-07 15:09:00+00:00,1.09098,1.088238,1.0943,2025-04-07 17:22:00+00:00,1.0944,SL,-34.2
2025-04-07,base,short,2025-04-07 17:50:00+00:00,1.09383,1.091419,1.095153,2025-04-07 18:08:00+00:00,1.095253,SL,-14.23
2025-04-07,base,short,2025-04-07 18:11:00+00:00,1.09382,1.091419,1.095153,2025-04-07 19:59:00+00:00,1.091419,TP,24.01
2025-04-07,base,long,2025-04-08 06:38:00+00:00,1.09843,1.100592,1.096858,2025-04-08 07:12:00+00:00,1.096758,SL,-16.72
2025-04-07,base,short,2025-04-08 07:55:00+00:00,1.0937,1.091419,1.095153,2025-04-08 09:24:00+00:00,1.091419,TP,22.81
2025-04-09,base,short,2025-04-09 16:28:00+00:00,1.10248,1.099356,1.10423,2025-04-09 17:03:00+00:00,1.099356,TP,31.24
2025-04-09,base,short,2025-04-09 17:19:00+00:00,1.1023,1.099356,1.10423,2025-04-09 17:20:00+00:00,1.10433,SL,-20.3
2025-04-09,base,short,2025-04-09 17:22:00+00:00,1.10097,1.099356,1.10423,2025-04-09 17:22:00+00:00,1.10433,SL,-33.6
2025-04-11,base,short,2025-04-11 15:16:00+00:00,1.13166,1.125283,1.134262,2025-04-11 15:34:00+00:00,1.134362,SL,-27.02
2025-04-11,base,short,2025-04-11 16:00:00+00:00,1.13169,1.125283,1.134262,2025-04-11 19:56:00+00:00,1.134362,SL,-26.72
2025-04-11,base,short,2025-04-13 21:04:00+00:00,1.13098,1.125283,1.134262,2025-04-13 22:19:00+00:00,1.134362,SL,-33.82
2025-04-11,base,long,2025-04-14 01:39:00+00:00,1.14089,1.147341,1.138362,2025-04-14 01:56:00+00:00,1.138262,SL,-26.28
2025-04-11,base,short,2025-04-14 13:06:00+00:00,1.13135,1.125283,1.134262,2025-04-14 13:59:00+00:00,1.1326,Time,-12.5
2025-04-14,base,long,2025-04-14 18:55:00+00:00,1.13528,1.137152,1.134058,2025-04-14 23:14:00+00:00,1.133958,SL,-13.22
2025-04-14,base,long,2025-04-15 06:05:00+00:00,1.13531,1.137152,1.134058,2025-04-15 06:27:00+00:00,1.133958,SL,-13.52
2025-04-14,base,long,2025-04-15 07:52:00+00:00,1.13527,1.137152,1.134058,2025-04-15 08:04:00+00:00,1.137152,TP,18.82
2025-04-14,base,long,2025-04-15 08:43:00+00:00,1.13543,1.137152,1.134058,2025-04-15 09:11:00+00:00,1.133958,SL,-14.72
2025-04-14,base,short,2025-04-15 12:58:00+00:00,1.13128,1.129444,1.132538,2025-04-15 13:07:00+00:00,1.132638,SL,-13.58
2025-04-14,base,short,2025-04-15 13:42:00+00:00,1.13134,1.129444,1.132538,2025-04-15 13:48:00+00:00,1.132638,SL,-12.98
2025-04-15,base,short,2025-04-15 14:06:00+00:00,1.13013,1.129901,1.131791,2025-04-15 14:09:00+00:00,1.129901,TP,2.29
2025-04-15,reentry,short,2025-04-15 14:10:00+00:00,1.12941,1.128236,1.131266,2025-04-15 14:26:00+00:00,1.131366,SL,-19.56
2025-04-16,base,long,2025-04-16 14:01:00+00:00,1.13765,1.137628,1.13662,2025-04-16 14:01:00+00:00,1.137628,TP,-0.22
2025-04-16,reentry,long,2025-04-16 14:03:00+00:00,1.1382,1.138656,1.1369,2025-04-16 14:07:00+00:00,1.1368,SL,-14.0
2025-04-16,base,long,2025-04-16 15:43:00+00:00,1.13731,1.137628,1.13662,2025-04-16 15:47:00+00:00,1.137628,TP,3.18
2025-04-16,base,short,2025-04-17 12:18:00+00:00,1.13537,1.135052,1.13606,2025-04-17 12:18:00+00:00,1.13616,SL,-7.9
2025-04-16,base,long,2025-04-17 13:05:00+00:00,1.1374,1.137628,1.13662,2025-04-17 13:05:00+00:00,1.13652,SL,-8.8
2025-04-16,base,short,2025-04-17 13:20:00+00:00,1.13528,1.135052,1.13606,2025-04-17 13:23:00+00:00,1.13616,SL,-8.8
2025-04-17,base,long,2025-04-17 14:17:00+00:00,1.13728,1.137773,1.136495,2025-04-17 14:19:00+00:00,1.137773,TP,4.93
2025-04-17,reentry,long,2025-04-17 14:22:00+00:00,1.13842,1.138996,1.13685,2025-04-17 14:33:00+00:00,1.13675,SL,-16.7
2025-04-17,base,short,2025-04-17 16:26:00+00:00,1.13503,1.134507,1.135785,2025-04-17 16:26:00+00:00,1.135885,SL,-8.55
2025-04-17,base,long,2025-04-18 00:55:00+00:00,1.13768,1.137773,1.136495,2025-04-18 00:55:00+00:00,1.137773,TP_samebar,0.93
2025-04-21,base,short,2025-04-22 07:09:00+00:00,1.14922,1.148041,1.15057,2025-04-22 07:21:00+00:00,1.15067,SL,-14.5
2025-04-21,base,short,2025-04-22 07:41:00+00:00,1.14953,1.148041,1.15057,2025-04-22 07:59:00+00:00,1.15067,SL,-11.4
2025-04-21,base,short,2025-04-22 08:09:00+00:00,1.14944,1.148041,1.15057,2025-04-22 08:26:00+00:00,1.15067,SL,-12.3
2025-04-24,base,long,2025-04-24 14:10:00+00:00,1.13846,1.139,1.137515,2025-04-24 14:18:00+00:00,1.137415,SL,-10.45
2025-04-24,base,short,2025-04-25 07:27:00+00:00,1.13586,1.135205,1.13669,2025-04-25 07:34:00+00:00,1.13679,SL,-9.3
2025-04-25,base,short,2025-04-28 06:57:00+00:00,1.13286,1.131852,1.133877,2025-04-28 07:03:00+00:00,1.133977,SL,-11.17
2025-04-29,base,short,2025-04-29 14:53:00+00:00,1.13813,1.137118,1.139332,2025-04-29 15:05:00+00:00,1.139432,SL,-13.02
2025-04-29,base,long,2025-04-29 16:37:00+00:00,1.14169,1.142776,1.140562,2025-04-29 16:45:00+00:00,1.140462,SL,-12.28
2025-04-29,base,short,2025-04-29 21:20:00+00:00,1.13822,1.137118,1.139332,2025-04-29 22:23:00+00:00,1.139432,SL,-12.12
2025-05-01,base,long,2025-05-02 12:37:00+00:00,1.13287,1.133196,1.132008,2025-05-02 12:37:00+00:00,1.131908,SL,-9.62
2025-05-01,base,long,2025-05-02 13:10:00+00:00,1.13303,1.133196,1.132008,2025-05-02 13:14:00+00:00,1.131908,SL,-11.22
